,word,wordnum
0,小说,16.0
1,经典,11.0
2,哲学,8.0
3,中国,8.0
4,文学,7.0
5,美国,7.0
6,外国文学,6.0
7,科幻,6.0
8,科幻小说,6.0
9,历史,5.0
10,文化,5.0
11,中国文学,5.0
12,国学,4.0
13,科普,4.0
14,基地系列,4.0
15,阿西莫夫,4.0
16,科学,3.0
17,钱穆,3.0
18,社会学,2.0
19,散文,2.0
20,传记,2.0
21,建筑设计,2.0
22,世界科幻大师丛书,2.0
23,基地,2.0
24,方法论,2.0
25,言情,2.0
26,短篇,2.0
27,儿童文学,2.0
28,圣香,2.0
29,藤萍,2.0
30,武侠,2.0
31,童书,2.0
32,西方哲学,2.0
33,奇幻,2.0
34,九功舞,2.0
35,古典文学,2.0
36,数学,2.0
37,香初上舞,2.0
38,随笔,2.0
39,童话,2.0
40,建筑,2.0
41,当代文学,2.0
42,德国,2.0
43,日本,1.0
44,维特根斯坦,1.0
45,纳兰容若,1.0
46,阿诺德・汤因比,1.0
47,思维,1.0
48,计算机,1.0
49,世界历史,1.0
50,冰与火之歌,1.0
51,汤显祖,1.0
52,控制论,1.0
53,思维方式,1.0
54,建筑历史,1.0
55,法国,1.0
56,政治,1.0
57,费恩曼物理学讲义.第1卷,1.0
58,论语,1.0
59,弗诺·文奇,1.0
60,建筑理论,1.0
61,陈嘉映,1.0
62,乔治·马丁,1.0
63,安·兰德,1.0
64,民族,1.0
65,童心,1.0
66,建筑大师,1.0
67,爱情,1.0
68,中国历史,1.0
69,清新,1.0
70,数论,1.0
71,思想史,1.0
72,全集,1.0
73,金观涛,1.0
74,芥川龙之介,1.0
75,西方奇幻,1.0
76,儿童,1.0
77,叔本华,1.0
78,科学哲学,1.0
79,文化类型史观,1.0
80,逻辑,1.0
81,Architecture,1.0
82,香初上舞·终上,1.0
83,茅盾文学奖,1.0
84,史诗,1.0
85,鲁迅,1.0
86,灵魂的事,1.0
87,天才,1.0
88,汤因比,1.0
89,勒·柯布西耶全集,1.0
90,香初上舞·再上,1.0
91,中国史学名著,1.0
92,文化研究,1.0
93,理想，勇气，爱,1.0
94,学术与政治,1.0
95,游记,1.0
96,温暖,1.0
97,中国文化要义,1.0
98,儒学,1.0
99,科学方法论,1.0
100,古典,1.0
101,回忆录,1.0
102,学术,1.0
103,思想,1.0
104,古建筑,1.0
105,魔幻,1.0
106,博尔赫斯小说集,1.0
107,程序设计,1.0
108,诗词,1.0
109,建筑史,1.0
110,物理学,1.0
111,C,1.0
112,忧郁的热带,1.0
113,你一生的故事,1.0
114,语言哲学,1.0
115,张爱玲,1.0
116,人生,1.0
117,中国文化,1.0
118,英国,1.0
119,费马大定理,1.0
120,系统论,1.0
121,昆曲,1.0
122,饮水词,1.0
123,人类学,1.0
124,冯友兰,1.0
125,迷宫小说,1.0
126,费曼,1.0
127,史学史,1.0
128,programming,1.0
129,信仰,1.0
130,什么是数学,1.0
131,金锁记,1.0
132,华夏意匠：中国古典建筑设计原理分析,1.0
133,知识分子,1.0
134,阿根廷,1.0
135,韦伯,1.0
136,历史研究,1.0
137,文集,1.0
138,女性文学,1.0
139,中国哲学,1.0
140,柯布西耶,1.0
141,书信,1.0
142,生命,1.0
143,冯至,1.0
144,史学,1.0
145,物理,1.0
146,戏剧,1.0
147,数学史,1.0
148,教材,1.0
149,梁漱溟,1.0
150,结构主义,1.0
151,弗诺・文奇,1.0
152,现当代文学,1.0
153,c语言,1.0
154,芥川龙之介全集,1.0
155,特德·蒋,1.0
156,个人主义,1.0
157,牡丹亭,1.0
158,c,1.0
159,古典诗词,1.0
160,史铁生,1.0
161,编程,1.0
162,鲁迅全集,1.0
163,马克斯·韦伯,1.0
164,艾萨克·阿西莫夫,1.0
165,迟子建,1.0
166,中国古典文学,1.0
167,额尔古纳河右岸,1.0
168,鄂温克,1.0
169,政治哲学,1.0
170,绘本,1.0
171,华夏意匠,1.0
172,本质,1.0
173,里尔克,1.0
174,列维·斯特劳斯,1.0
175,源泉,1.0
176,汪曾祺,1.0
177,科幻经典,1.0
178,给青年诗人的信,1.0
179,猜猜我有多爱你,1.0
180,随风而来的玛丽阿姨,1.0
181,博尔赫斯,1.0
182,历史哲学,1.0
183,短篇集,1.0
184,纳兰性德,1.0
185,分析哲学,1.0
186,哲学研究,1.0
187,日本文学,1.0
188,太空歌剧,1.0
189,诗歌,1.0
190,自然科学,1.0
191,哲学史,1.0
192,设计,1.0
