,word,wordnum
0,经典,3.0
1,随笔,3.0
2,思想,3.0
3,中国,3.0
4,美国,2.0
5,科学,2.0
6,政治,2.0
7,科普,2.0
8,外国文学,2.0
9,哲学,2.0
10,杂文,2.0
11,中国文学,2.0
12,文学,2.0
13,名著,2.0
14,王小波,2.0
15,自由,1.0
16,林达,1.0
17,爱情,1.0
18,逻辑,1.0
19,百科,1.0
20,政治学,1.0
21,经济学,1.0
22,历史,1.0
23,中国少年儿童百科全书,1.0
24,哈耶克,1.0
25,乱世佳人,1.0
26,安徒生童话故事集,1.0
27,数学,1.0
28,儿童文学,1.0
29,百科全书,1.0
30,安徒生童话,1.0
31,童年,1.0
32,社会,1.0
33,沉默的大多数,1.0
34,安徒生,1.0
35,小说,1.0
36,我的精神家园,1.0
37,外国名著,1.0
38,哥德尔,1.0
39,民主,1.0
40,童话,1.0
41,计算机,1.0
42,文化,1.0
43,自由主义,1.0
44,人工智能,1.0
