,word,wordnum
0,外国文学,11.0
1,小说,9.0
2,文学,8.0
3,散文,4.0
4,中国文学,4.0
5,理财,4.0
6,英国文学,4.0
7,英国,4.0
8,金融,4.0
9,投资,4.0
10,随笔,4.0
11,台湾,3.0
12,艺术,3.0
13,童话,3.0
14,计算机,3.0
15,科普,3.0
16,中国,3.0
17,经济,3.0
18,投资理财,3.0
19,价值投资,3.0
20,经济学,2.0
21,心理学,2.0
22,绘画,2.0
23,哲学,2.0
24,日本,2.0
25,佛学,2.0
26,心理,2.0
27,修行,2.0
28,儿童文学,2.0
29,吉米·哈利,2.0
30,自然,2.0
31,动物,2.0
32,证券,2.0
33,宗教,2.0
34,佛教,2.0
35,台湾文学,2.0
36,宗萨蒋扬钦哲仁波切,2.0
37,悬疑,2.0
38,历史,2.0
39,编程,2.0
40,技术,2.0
41,三联,2.0
42,法国,2.0
43,推理,2.0
44,股票,2.0
45,王尔德,2.0
46,艺术史,1.0
47,科学说需求,1.0
48,海外中国研究,1.0
49,工具书,1.0
50,重构,1.0
51,传记,1.0
52,底层探索,1.0
53,人间是剧场,1.0
54,加缪,1.0
55,李娟,1.0
56,吴念真,1.0
57,设计中的设计,1.0
58,解体概要,1.0
59,外语学习,1.0
60,政治,1.0
61,芒格,1.0
62,巴西,1.0
63,IT,1.0
64,计算机科学,1.0
65,西方哲学,1.0
66,心灵,1.0
67,常识·心理学,1.0
68,白先勇,1.0
69,蒋勋,1.0
70,linux,1.0
71,王奇生,1.0
72,教育,1.0
73,原研哉,1.0
74,美术史,1.0
75,吳念真,1.0
76,改变心理学的40项研究(第5版),1.0
77,宗萨蒋杨钦哲仁波切,1.0
78,散文随笔,1.0
79,思维,1.0
80,设计学,1.0
81,科学,1.0
82,中国近代史,1.0
83,鸟哥,1.0
84,Design,1.0
85,俄罗斯,1.0
86,剧本,1.0
87,彼得林奇,1.0
88,架构,1.0
89,万物既伟大又渺小,1.0
90,中国艺术史,1.0
91,Linux/Unix,1.0
92,软件工程,1.0
93,科幻,1.0
94,民国,1.0
95,虚无主义,1.0
96,教育学,1.0
97,漫画,1.0
98,经典,1.0
99,文学理论,1.0
100,软件开发,1.0
101,赖世雄,1.0
102,发音,1.0
103,玛赞·莎碧,1.0
104,思想,1.0
105,穷查理宝典,1.0
106,计算机原理,1.0
107,德国文学,1.0
108,新制度经济学,1.0
109,绘本,1.0
110,中国科幻,1.0
111,童年,1.0
112,格雷厄姆,1.0
113,悬疑推理,1.0
114,夜莺与玫瑰,1.0
115,推理小说,1.0
116,英语学习,1.0
117,实验,1.0
118,经典投资书籍,1.0
119,国民党,1.0
120,张五常,1.0
121,法国文学,1.0
122,红学,1.0
123,局外人,1.0
124,爱,1.0
125,三体,1.0
126,英语,1.0
127,美学,1.0
128,口语,1.0
129,萧沆,1.0
130,日系推理,1.0
131,刘慈欣,1.0
132,武侠,1.0
133,吉祥纹莲花楼系列,1.0
134,伊坂幸太郎,1.0
135,科幻小说,1.0
136,书信,1.0
137,旅行,1.0
138,Linux,1.0
139,温柔,1.0
140,戏剧,1.0
141,编码,1.0
142,德国,1.0
143,红楼鉴赏书,1.0
144,民国史,1.0
145,文化,1.0
146,俄罗斯文学,1.0
147,解构主义,1.0
148,同性,1.0
149,硬科幻,1.0
150,黑塞,1.0
151,代码优化,1.0
152,同志,1.0
153,音标,1.0
154,阿尔贝·加缪,1.0
155,美国,1.0
156,齐奥朗,1.0
157,学习方法,1.0
158,李莲花,1.0
159,俄国文学,1.0
160,荒原狼,1.0
161,新疆,1.0
162,漫画·绘本,1.0
163,人物传记,1.0
164,藝術設計私生活,1.0
165,政治学,1.0
166,心灵修行,1.0
167,田纳西·威廉斯,1.0
168,伊朗,1.0
169,操作系统,1.0
170,学习,1.0
171,梵高,1.0
172,灵修,1.0
173,荷兰,1.0
174,红楼梦,1.0
175,存在主义,1.0
176,日本文学,1.0
177,台灣,1.0
178,现当代文学,1.0
179,藤萍,1.0
180,赫尔曼·黑塞,1.0
181,文森特·凡高,1.0
182,奥斯卡·王尔德,1.0
183,汪曾祺,1.0
184,巫鸿,1.0
185,美国文学,1.0
186,OscarWilde,1.0
187,阿勒泰,1.0
188,心理学史,1.0
189,欲望号街车,1.0
190,生活,1.0
191,认知心理学,1.0
192,制度经济学,1.0
193,帕乌斯托夫斯基,1.0
194,设计,1.0
