,word,wordnum
0,小说,11.0
1,美国,10.0
2,历史,8.0
3,文学,6.0
4,外国文学,6.0
5,科幻,4.0
6,哲学,4.0
7,科普,4.0
8,科幻小说,3.0
9,社会学,3.0
10,传记,3.0
11,经典,2.0
12,日本文学,2.0
13,民主,2.0
14,日本,2.0
15,罗杰·克劳利,2.0
16,海伯利安,2.0
17,心理,2.0
18,政治,2.0
19,丹·西蒙斯,2.0
20,太空歌剧,2.0
21,美国文学,2.0
22,思维,2.0
23,欧洲历史,2.0
24,中国,2.0
25,海伯利安四部曲,2.0
26,电影理论,2.0
27,文化,2.0
28,地中海史诗三部曲,2.0
29,电影,2.0
30,德国,2.0
31,中国文学,2.0
32,诺贝尔文学奖,2.0
33,文明冲突,2.0
34,纪实文学,1.0
35,社会学入门,1.0
36,地理,1.0
37,佛教,1.0
38,白俄罗斯,1.0
39,纪实,1.0
40,绘本,1.0
41,政治哲学,1.0
42,入门,1.0
43,自然,1.0
44,陳浩基,1.0
45,以色列文学,1.0
46,大卫·波德维尔,1.0
47,西方哲学,1.0
48,随笔,1.0
49,改革开放,1.0
50,人类简史,1.0
51,S.A.阿列克谢耶维奇,1.0
52,计算机,1.0
53,拜占庭,1.0
54,罗伯特∙麦基,1.0
55,贵志祐介,1.0
56,爱情,1.0
57,教父,1.0
58,人生的智慧,1.0
59,彼得·伯格,1.0
60,思想哲学,1.0
61,尼采,1.0
62,超人,1.0
63,人性,1.0
64,叔本华,1.0
65,儿童,1.0
66,哲学&美学,1.0
67,香港推理,1.0
68,人生哲学,1.0
69,中国小说,1.0
70,童书,1.0
71,法学,1.0
72,植物,1.0
73,编剧,1.0
74,沈从文,1.0
75,地图,1.0
76,思想,1.0
77,军事史,1.0
78,马里奥·普佐,1.0
79,萨拉马戈,1.0
80,阿耐,1.0
81,陈浩基,1.0
82,香港,1.0
83,宗教,1.0
84,自然文学,1.0
85,美国宪政历程,1.0
86,世界历史,1.0
87,社會學,1.0
88,科技,1.0
89,民国,1.0
90,植物学,1.0
91,劳伦斯,1.0
92,张新颖,1.0
93,轻小说,1.0
94,独裁,1.0
95,佛法经典,1.0
96,阿列克谢耶维奇,1.0
97,推理小说,1.0
98,地中海,1.0
99,葡萄牙文学,1.0
100,阿摩司·奥兹,1.0
101,佛陀,1.0
102,文洁若,1.0
103,以色列,1.0
104,宪政,1.0
105,理查德·耶茨,1.0
106,甲骨文,1.0
107,伊斯兰,1.0
108,艺术,1.0
109,博物学,1.0
110,推理,1.0
111,社会理论,1.0
112,商业,1.0
113,贵志佑介,1.0
114,心理学,1.0
115,黑帮,1.0
116,社会,1.0
117,反乌托邦,1.0
118,葡萄牙,1.0
119,经济,1.0
120,AmosOz,1.0
121,精神世界,1.0
122,吴军,1.0
123,人类学,1.0
124,写作,1.0
125,电影原著,1.0
126,若泽·萨拉马戈,1.0
127,互联网,1.0
128,中东,1.0
129,故事,1.0
130,政治学,1.0
131,艾萨克·阿西莫夫,1.0
132,佛学,1.0
133,人物传记,1.0
134,人类,1.0
135,查拉图斯特拉,1.0
136,戴维·迈尔斯,1.0
137,世界地图,1.0
138,社会学心理学,1.0
139,三島由紀夫,1.0
140,婚姻,1.0
141,阿西莫夫,1.0
142,影视艺术,1.0
143,电影史,1.0
144,切尔诺贝利,1.0
145,社会心理学,1.0
146,一行禅师,1.0
147,法律,1.0
148,丰饶之海,1.0
149,时间旅行,1.0
150,奥斯曼,1.0
151,中世纪,1.0
152,地理学,1.0
153,文明,1.0
154,身心灵,1.0
155,创作,1.0
156,犯罪,1.0
157,三岛由纪夫,1.0
