,word,wordnum
0,小说,14.0
1,中国文学,13.0
2,中国,12.0
3,文学,11.0
4,外国文学,9.0
5,历史,7.0
6,哲学,6.0
7,绘本,5.0
8,漫画,4.0
9,散文,4.0
10,台湾,4.0
11,经典,4.0
12,美国,3.0
13,国学,3.0
14,战争,3.0
15,日本,3.0
16,远征军,3.0
17,三毛echo,3.0
18,随笔,3.0
19,诗歌,3.0
20,当代文学,3.0
21,德国,3.0
22,三毛,3.0
23,中国哲学,3.0
24,道家,2.0
25,编程,2.0
26,陈鼓应,2.0
27,京味,2.0
28,艺术,2.0
29,赫尔曼·黑塞,2.0
30,诗集,2.0
31,军事,2.0
32,二战,2.0
33,我的团长我的团,2.0
34,繪本,2.0
35,文化,2.0
36,生活·读书·新知三联书店,2.0
37,兰晓龙,2.0
38,印度,2.0
39,人文,2.0
40,德国文学,2.0
41,成长,2.0
42,英国,2.0
43,思想,2.0
44,黑塞,2.0
45,缅北之战,2.0
46,莫莉蓟野,2.0
47,猫,2.0
48,叶广芩,2.0
49,猫国物语,2.0
50,诗,2.0
51,童话,2.0
52,计算机,2.0
53,言情,1.0
54,茅盾文学奖,1.0
55,海子,1.0
56,童话绘本,1.0
57,政治,1.0
58,艺术史,1.0
59,中国远征军,1.0
60,新月集飞鸟集,1.0
61,英国文学,1.0
62,纪实,1.0
63,京味小说,1.0
64,子猫絮语,1.0
65,温柔的夜,1.0
66,古籍,1.0
67,传记,1.0
68,幾米,1.0
69,现实主义,1.0
70,心灵,1.0
71,李乾朗,1.0
72,萨伯,1.0
73,万水千山走遍,1.0
74,web开发,1.0
75,计算机科学,1.0
76,哈珀·李,1.0
77,数学与自然科学,1.0
78,科学,1.0
79,汉娜·阿伦特,1.0
80,反舌鸟,1.0
81,顾城,1.0
82,回忆录,1.0
83,古建筑,1.0
84,阿伦特,1.0
85,彼得兔绘本全集：小兔彼得和他的朋友们,1.0
86,好妈妈胜过好老师,1.0
87,法学,1.0
88,古典,1.0
89,采桑子,1.0
90,木心,1.0
91,自传小说,1.0
92,泰戈尔,1.0
93,彼得兔,1.0
94,O'Reilly,1.0
95,教育,1.0
96,梦里花落知多少,1.0
97,温暖,1.0
98,历史言情,1.0
99,儿童教育,1.0
100,三联,1.0
101,王小波,1.0
102,散文随笔,1.0
103,傅惟慈译,1.0
104,印度文学,1.0
105,作品八种,1.0
106,法理,1.0
107,中国历史,1.0
108,文学理论,1.0
109,浪漫的灵魂,1.0
110,文艺理论,1.0
111,中國古建築,1.0
112,宗教,1.0
113,项塔兰,1.0
114,高居翰,1.0
115,文学评论,1.0
116,洞穴奇案,1.0
117,爱情,1.0
118,中国美术史,1.0
119,星空,1.0
120,东野圭吾,1.0
121,路遥,1.0
122,推理小说,1.0
123,育儿,1.0
124,毛姆,1.0
125,明朝,1.0
126,猫城小事,1.0
127,Web前端开发,1.0
128,老子,1.0
129,加来道雄,1.0
130,抗日,1.0
131,当年明月,1.0
132,爱,1.0
133,echo,1.0
134,被刻意掩盖的历史,1.0
135,鼠族,1.0
136,冯友兰,1.0
137,机器学习,1.0
138,人生,1.0
139,美的历程,1.0
140,東野圭吾,1.0
141,数据挖掘,1.0
142,画,1.0
143,建筑,1.0
144,旅行,1.0
145,算法,1.0
146,法哲学,1.0
147,物理,1.0
148,黄灿然,1.0
149,战争史,1.0
150,章东磐,1.0
151,推理,1.0
152,意大利,1.0
153,宋代,1.0
154,JavaScript,1.0
155,米兰Lady,1.0
156,庄子,1.0
157,集体智慧,1.0
158,李泽厚,1.0
159,梦之城堡,1.0
160,明朝那些事儿,1.0
161,美学,1.0
162,亲子,1.0
163,取今复古，别立新宗。,1.0
164,平凡的世界,1.0
165,政治学,1.0
166,被遗忘的士兵,1.0
167,幼儿教育,1.0
168,人工智能,1.0
169,感动,1.0
170,物理学,1.0
171,科普,1.0
172,阿狸,1.0
173,政治哲学,1.0
174,郑振铎译,1.0
175,佛教,1.0
176,家庭,1.0
177,社会学,1.0
178,建筑史,1.0
179,嫌疑人X的献身,1.0
180,web,1.0
181,家族,1.0
182,卡尔维诺,1.0
183,诸子,1.0
184,绘画,1.0
185,几米,1.0
186,时空,1.0
187,绿毛水怪,1.0
188,现当代文学,1.0
189,javacript,1.0
190,法律,1.0
191,家庭教育,1.0
192,美国文学,1.0
193,阿特·斯皮格曼,1.0
194,普利策,1.0
195,月亮和六便士,1.0
196,儿童文学,1.0
197,日本文学,1.0
198,小温暖,1.0
199,古言,1.0
200,宇宙,1.0
201,澳大利亚,1.0
