,word,wordnum
0,美国,3.0
1,美国文学,2.0
2,后浪,2.0
3,漫画,2.0
4,小说,2.0
5,艺术,2.0
6,历史,2.0
7,教育与女性,1.0
8,日本,1.0
9,巫哲,1.0
10,文学,1.0
11,传记,1.0
12,短篇集,1.0
13,悬疑小说,1.0
14,教育,1.0
15,日本文学,1.0
16,耽美,1.0
17,短篇小说,1.0
18,青春,1.0
19,俄国史,1.0
20,希望,1.0
21,日本漫画,1.0
22,卡洛·罗韦利,1.0
23,物理学,1.0
24,西伯利亚,1.0
25,世界史,1.0
26,科幻,1.0
27,图像小说,1.0
28,俄罗斯,1.0
29,清明上河图密码,1.0
30,特德·姜,1.0
31,2019,1.0
32,冶文彪,1.0
33,中国文学,1.0
34,非虚构,1.0
35,记忆研究,1.0
36,俄国,1.0
37,跟着光无所畏惧,1.0
38,科幻小说,1.0
39,成長,1.0
40,建筑,1.0
41,哲学,1.0
42,绘本,1.0
43,今敏,1.0
44,科普,1.0
45,物理,1.0
46,勇敢,1.0
47,社会学,1.0
48,大结局,1.0
49,回忆录,1.0
50,流放制度,1.0
51,推理,1.0
52,校園,1.0
53,时间,1.0
54,后浪漫,1.0
55,励志,1.0
