,word,wordnum
0,小说,5.0
1,文学,5.0
2,经典,3.0
3,外国文学,3.0
4,中国文学,3.0
5,哲学,2.0
6,德国,2.0
7,黄金时代,1.0
8,蓝熊船长的13条半命,1.0
9,数学,1.0
10,婚姻,1.0
11,自然科学,1.0
12,黄金时代(白银时代),1.0
13,博尔赫斯,1.0
14,儿童文学,1.0
15,白银时代,1.0
16,人生,1.0
17,小径分岔的花园,1.0
18,钱钟书,1.0
19,俄国文学,1.0
20,伽莫夫,1.0
21,科学,1.0
22,康德,1.0
23,王小波,1.0
24,中国近代史,1.0
25,历史,1.0
26,中国当代文学,1.0
27,史铁生,1.0
28,俄罗斯,1.0
29,群魔,1.0
30,近代史,1.0
31,后现代,1.0
32,中国历史,1.0
33,邓晓芒,1.0
34,散文,1.0
35,中國歷史,1.0
36,物理,1.0
37,中国,1.0
38,阿根廷,1.0
39,美学,1.0
40,幻想,1.0
41,判断力批判,1.0
42,从一到无穷大,1.0
43,拉美,1.0
44,心理,1.0
45,现代性,1.0
46,社会,1.0
47,当代,1.0
48,科普,1.0
49,围城,1.0
50,童话,1.0
51,鲍曼,1.0
52,社会学,1.0
53,徐中约,1.0
54,西方哲学,1.0
55,随笔,1.0
56,我与地坛,1.0
57,莫尔斯,1.0
58,钱锺书,1.0
59,拉美文学,1.0
60,现代性与大屠杀,1.0
61,中國近代史,1.0
62,社会理论,1.0
63,陀思妥耶夫斯基,1.0
