,word,wordnum
0,小说,11.0
1,经典,9.0
2,文学,9.0
3,外国文学,6.0
4,历史,6.0
5,中国,5.0
6,中国文学,5.0
7,计算机,4.0
8,编程,4.0
9,美国,4.0
10,古典文学,4.0
11,绘本,3.0
12,诗歌,3.0
13,程序设计,3.0
14,古籍,3.0
15,佛学,2.0
16,伊朗,2.0
17,儿童文学,2.0
18,我在伊朗长大,2.0
19,玛赞·莎塔碧,2.0
20,斯塔夫里阿诺斯,2.0
21,科普,2.0
22,全球通史,2.0
23,佛教,2.0
24,艺术,2.0
25,童话,2.0
26,法国,2.0
27,通史,2.0
28,现代文学,2.0
29,名著,2.0
30,国学,2.0
31,王小波,2.0
32,世界历史,2.0
33,宗教,2.0
34,漫画,2.0
35,漫画绘本,2.0
36,软件开发,2.0
37,programming,2.0
38,哲学,2.0
39,杂文,2.0
40,营销管理,1.0
41,教材,1.0
42,科学史,1.0
43,冰与火之歌,1.0
44,白谦慎,1.0
45,中国历史,1.0
46,陀思妥耶夫斯基,1.0
47,佛学\u3000经典,1.0
48,文艺理论,1.0
49,香港,1.0
50,量子物理,1.0
51,批本,1.0
52,物理,1.0
53,彷徨,1.0
54,算法,1.0
55,动画,1.0
56,软件工程,1.0
57,范文澜,1.0
58,智慧,1.0
59,侦探推理,1.0
60,推理,1.0
61,米切尔·恩德,1.0
62,传记,1.0
63,与他共度61世,1.0
64,乔治·马丁,1.0
65,原动画基础教程——动画人的生存手册,1.0
66,艺术史,1.0
67,德国,1.0
68,商业,1.0
69,四大名著,1.0
70,阿加莎·克里斯蒂,1.0
71,希望,1.0
72,代码大全,1.0
73,诗集,1.0
74,C/C++,1.0
75,哥哥,1.0
76,古典,1.0
77,市场营销,1.0
78,C++,1.0
79,科学,1.0
80,菲利普·科特勒,1.0
81,周易,1.0
82,卡拉马佐夫兄弟,1.0
83,中国近代史,1.0
84,UNIX,1.0
85,动漫,1.0
86,史诗,1.0
87,鲁迅,1.0
88,茨威格,1.0
89,俄罗斯,1.0
90,管理,1.0
91,近代史,1.0
92,纪伯伦,1.0
93,宗萨蒋扬钦哲仁波切,1.0
94,思想,1.0
95,金批水浒,1.0
96,魔幻,1.0
97,营销,1.0
98,全球通史(下),1.0
99,诗词,1.0
100,童书,1.0
101,傅山的世界,1.0
102,蒋廷黻,1.0
103,肖申克的救赎,1.0
104,linux,1.0
105,奥地利,1.0
106,西方奇幻,1.0
107,古诗源,1.0
108,奇幻,1.0
109,儿童,1.0
110,王小波全集,1.0
111,刘勰,1.0
112,的灰,1.0
113,中华书局,1.0
114,毛毛,1.0
115,量子力学,1.0
116,algorithm,1.0
117,水浒,1.0
118,医家故事,1.0
119,英国,1.0
120,佛经,1.0
121,心经,1.0
122,文心雕龙,1.0
123,般若波罗密多,1.0
124,易经,1.0
125,推理小说,1.0
126,编程艺术,1.0
127,俄国文学,1.0
128,自传,1.0
129,雨果,1.0
130,电影,1.0
131,傅山,1.0
132,金圣叹,1.0
133,藏传佛教,1.0
134,营销管理（第12版）,1.0
135,悲惨世界,1.0
136,原画,1.0
137,文明,1.0
138,生活・读书・新知三联书店,1.0
139,东方快车谋杀案,1.0
140,神经外科,1.0
141,管理学,1.0
142,法国文学,1.0
143,全球通史(上),1.0
144,沉默的大多数,1.0
145,历史学,1.0
146,悬疑,1.0
147,沈德潜,1.0
148,张国荣,1.0
149,时间,1.0
150,佛教的见地与修道,1.0
151,医学,1.0
152,书法,1.0
153,随笔,1.0
154,计算机科学,1.0
155,玄学,1.0
156,代码,1.0
157,奥地利文学,1.0
158,不一样的卡梅拉,1.0
159,算法导论,1.0
160,文化,1.0
161,纪伯伦诗集,1.0
162,诗,1.0
163,leslie,1.0
164,斯蒂芬·金,1.0
165,经典之作,1.0
166,思维的乐趣,1.0
167,厚重的现实主义,1.0
168,侦探,1.0
169,原动画基础教程,1.0
170,世界史,1.0
171,经典教材,1.0
172,古典诗词,1.0
173,我想去看海,1.0
174,教程,1.0
175,禅,1.0
176,黑色幽默,1.0
177,物理学,1.0
178,诗经,1.0
179,中国古典文学,1.0
180,宗萨钦哲仁波切,1.0
181,幻想,1.0
182,中国近现代,1.0
