,word,wordnum
0,小说,6.0
1,中国,4.0
2,文学,4.0
3,经典,4.0
4,外国文学,4.0
5,中国文学,2.0
6,童话,2.0
7,语言,2.0
8,艺术,2.0
9,法国,2.0
10,法国文学,2.0
11,历史,2.0
12,儿童文学,2.0
13,日本文学,2.0
14,日本,2.0
15,中国古典文学,1.0
16,生育制度,1.0
17,艺术史,1.0
18,社会学,1.0
19,童年,1.0
20,加缪,1.0
21,古代汉语,1.0
22,古典文学,1.0
23,哲学,1.0
24,民俗,1.0
25,汉语,1.0
26,通史,1.0
27,美术理论,1.0
28,爱情,1.0
29,现代文学,1.0
30,名著,1.0
31,大师,1.0
32,文博,1.0
33,人性,1.0
34,矢玉四郎,1.0
35,芥川龙之介,1.0
36,蓬莱阁丛书,1.0
37,张荫麟,1.0
38,童书,1.0
39,诗词,1.0
40,杂玩,1.0
41,西方艺术史,1.0
42,古汉语,1.0
43,地狱变,1.0
44,香港,1.0
45,英文,1.0
46,中国历史,1.0
47,国学,1.0
48,大幻想文学,1.0
49,语言学,1.0
50,锦灰堆,1.0
51,瑞典,1.0
52,玩物,1.0
53,婚姻社会学,1.0
54,人类学,1.0
55,晴天，有时下猪,1.0
56,大幻想,1.0
57,加缪文集,1.0
58,辞典,1.0
59,李碧华,1.0
60,文化,1.0
61,艺术的故事,1.0
62,王力,1.0
63,教材,1.0
64,费孝通,1.0
65,社会,1.0
66,社会.人类学,1.0
67,长袜子皮皮,1.0
68,鉴赏,1.0
69,基督山伯爵,1.0
70,阿根廷,1.0
71,写作,1.0
72,writing,1.0
73,艺术理论,1.0
74,英语,1.0
75,english,1.0
76,四世同堂,1.0
77,诗歌,1.0
78,王世襄,1.0
79,博尔赫斯,1.0
80,大仲马,1.0
81,博尔赫斯全集,1.0
82,Writing.,1.0
83,唐诗,1.0
84,霸王别姬,1.0
85,中国通史,1.0
86,存在主义,1.0
87,老舍,1.0
88,中国史,1.0
89,Language,1.0
90,林格伦,1.0
91,贡布里希,1.0
92,现实主义,1.0
