,word,wordnum
0,小说,4.0
1,中国,4.0
2,经典,4.0
3,英国,3.0
4,古典文学,2.0
5,诗词,2.0
6,文化,2.0
7,历史,2.0
8,人类学,2.0
9,科普,2.0
10,文学,2.0
11,古典,2.0
12,工具书,1.0
13,活着,1.0
14,诗歌,1.0
15,有趣,1.0
16,字典,1.0
17,英国文学,1.0
18,人生,1.0
19,自然科学,1.0
20,自然,1.0
21,儿童文学,1.0
22,劳伦兹,1.0
23,人间词话,1.0
24,推理小说,1.0
25,名著,1.0
26,古典名著,1.0
27,AgathaChristie,1.0
28,侦探小说,1.0
29,国学,1.0
30,王国维,1.0
31,神话,1.0
32,巫術,1.0
33,乡土中国,1.0
34,动物行为学,1.0
35,侦探,1.0
36,莎士比亚全集,1.0
37,农村,1.0
38,三国演义,1.0
39,哈尔罗杰历险记,1.0
40,生活,1.0
41,费孝通,1.0
42,唐诗三百首,1.0
43,探险,1.0
44,余华,1.0
45,童年,1.0
46,宗教,1.0
47,神秘,1.0
48,中国文学,1.0
49,动物,1.0
50,新华字典,1.0
51,朱生豪,1.0
52,当代,1.0
53,社会,1.0
54,詹姆斯・乔治・弗雷泽,1.0
55,外国文学,1.0
56,生物,1.0
57,现代汉语,1.0
58,社会学,1.0
59,戏剧,1.0
60,莎士比亚,1.0
61,古文诗词,1.0
62,阿加莎·克里斯蒂,1.0
63,新华字典(1998年修订本),1.0
64,推理,1.0
65,探险小说,1.0
66,唐诗,1.0
67,罗贯中,1.0
68,学习,1.0
