,word,wordnum
0,外国文学,15.0
1,小说,13.0
2,文学,11.0
3,拉美文学,6.0
4,博尔赫斯,6.0
5,阿根廷,6.0
6,诗歌,5.0
7,短篇小说,5.0
8,阿根廷文学,5.0
9,传记,4.0
10,历史,4.0
11,中国,4.0
12,心理,3.0
13,社会学,3.0
14,豪尔赫·路易斯·博尔赫斯,3.0
15,心理学,3.0
16,社会,3.0
17,随笔,3.0
18,人物,2.0
19,二战,2.0
20,西班牙文学,2.0
21,哲学,2.0
22,现当代文学,2.0
23,梵高,2.0
24,画集,2.0
25,西班牙,2.0
26,社会心理学,2.0
27,励志,2.0
28,人物传记,2.0
29,日本文学,2.0
30,艺术,2.0
31,经典,2.0
32,俄罗斯文学,2.0
33,纪实文学,2.0
34,诗,2.0
35,政治史,2.0
36,文学评论,2.0
37,书信,2.0
38,好书，值得一读,2.0
39,纪实,2.0
40,阿列克谢耶维奇,2.0
41,塞尔努达,2.0
42,政治,2.0
43,日本,2.0
44,死亡,1.0
45,文艺评论,1.0
46,拉美,1.0
47,文艺理论,1.0
48,摄影,1.0
49,陀思妥耶夫斯基,1.0
50,中国历史,1.0
51,白先勇,1.0
52,漫画,1.0
53,女性,1.0
54,甲骨文丛书,1.0
55,新加坡,1.0
56,诗集,1.0
57,怪老头,1.0
58,儿童教育,1.0
59,艺术家,1.0
60,弗洛姆,1.0
61,智慧,1.0
62,波兰,1.0
63,台湾文学,1.0
64,苏俄文学,1.0
65,加拿大文学,1.0
66,文学理论,1.0
67,爱情,1.0
68,奥地利,1.0
69,教育,1.0
70,西方奇幻,1.0
71,奇幻,1.0
72,儿童,1.0
73,加拿大,1.0
74,叔本华,1.0
75,人性,1.0
76,老龄化,1.0
77,仇鹿鸣,1.0
78,诺贝尔文学奖,1.0
79,台北人,1.0
80,2015,1.0
81,唐史,1.0
82,鲁迅,1.0
83,强风吹拂,1.0
84,俄罗斯,1.0
85,灾难,1.0
86,芥川龙之介,1.0
87,罗生门,1.0
88,*上海译文出版社*,1.0
89,跑步,1.0
90,叶嘉莹,1.0
91,三浦紫苑,1.0
92,瓦西里·格罗斯曼,1.0
93,摄影集,1.0
94,青春,1.0
95,思想,1.0
96,二战后的欧洲,1.0
97,魔幻,1.0
98,欧洲,1.0
99,诗词,1.0
100,人生的智慧,1.0
101,安德烈·斯帕克沃斯基,1.0
102,梵高传,1.0
103,李碧妍,1.0
104,苏联,1.0
105,生活与命运,1.0
106,猎魔人系列,1.0
107,手稿,1.0
108,画册,1.0
109,诺贝尔奖,1.0
110,深刻、精辟的好书！,1.0
111,故事新编,1.0
112,北欧文学,1.0
113,英国,1.0
114,猎魔人,1.0
115,路易斯·塞尔努达,1.0
116,写作,1.0
117,弗雷德里克·巴克曼,1.0
118,育儿,1.0
119,阿图·葛文德,1.0
120,俄国,1.0
121,治愈,1.0
122,李光耀,1.0
123,中国史,1.0
124,绘画,1.0
125,伦理,1.0
126,人生,1.0
127,中古史,1.0
128,李光耀观天下,1.0
129,逃避自由,1.0
130,中国文学,1.0
131,魏晋,1.0
132,冯至,1.0
133,情感,1.0
134,范晔,1.0
135,商业,1.0
136,短经典,1.0
137,德国,1.0
138,图册,1.0
139,魏晋南北朝史,1.0
140,医学,1.0
141,甲骨文,1.0
142,社会史,1.0
143,散文,1.0
144,阿利斯泰尔·麦克劳德,1.0
145,切尔诺贝利,1.0
146,西方哲学,1.0
147,早稻,1.0
148,褚时健,1.0
149,绘本,1.0
150,波兰文学,1.0
151,古典文学,1.0
152,国漫,1.0
153,法国,1.0
154,家庭教育,1.0
155,美术,1.0
156,藩镇,1.0
157,S.A.阿列克谢耶维奇,1.0
158,詹姆斯·伍德,1.0
159,亲密关系,1.0
160,读库,1.0
161,唐宋词十七讲,1.0
162,古典诗词,1.0
163,隋唐史,1.0
164,瑞典,1.0
165,亲子,1.0
166,史蒂芬·奈菲,1.0
167,俄国文学,1.0
168,里尔克,1.0
169,企业家,1.0
170,美国,1.0
171,读书,1.0
172,短篇集,1.0
173,人际关系,1.0
174,欧洲史,1.0
175,魏晋南北朝,1.0
176,台湾,1.0
177,玛格南,1.0
178,,1.0
