,word,wordnum
0,中国,10.0
1,小说,9.0
2,文学,7.0
3,经典,6.0
4,历史,6.0
5,外国文学,5.0
6,哲学,5.0
7,文化,4.0
8,艺术,4.0
9,中国文学,4.0
10,心理学,3.0
11,程序设计,3.0
12,思想,3.0
13,编程,3.0
14,德国,3.0
15,计算机,3.0
16,心理,3.0
17,博尔赫斯,2.0
18,中国哲学,2.0
19,叔本华,2.0
20,奇幻,2.0
21,音乐,2.0
22,思想史,2.0
23,拉美文学,2.0
24,史诗,2.0
25,美国,2.0
26,C/C++,2.0
27,C,2.0
28,西方哲学,2.0
29,随笔,2.0
30,C语言,2.0
31,传记,2.0
32,纪实,2.0
33,王小波,2.0
34,摄影,2.0
35,拉美,2.0
36,漫画,2.0
37,绘本,2.0
38,阿根廷,2.0
39,教材,2.0
40,古典音乐,1.0
41,巴赞,1.0
42,冰与火之歌,1.0
43,反右,1.0
44,民国,1.0
45,塔希里亚,1.0
46,中国历史,1.0
47,陈忠实,1.0
48,算法,1.0
49,民谣,1.0
50,科幻,1.0
51,电影理论,1.0
52,中国古建,1.0
53,旅行,1.0
54,音乐教程,1.0
55,电影是什么？,1.0
56,叔本华思想随笔,1.0
57,中国当代文学,1.0
58,刘敦桢,1.0
59,温暖,1.0
60,上学记,1.0
61,虚构集,1.0
62,入门,1.0
63,抗日战争,1.0
64,地理,1.0
65,乔治·马丁,1.0
66,艺术史,1.0
67,土摩托,1.0
68,美国讲稿,1.0
69,现代文学,1.0
70,人类学·社会学,1.0
71,名著,1.0
72,美国民歌,1.0
73,国学,1.0
74,精神病,1.0
75,苦难,1.0
76,文学理论,1.0
77,普通心理学,1.0
78,电影是什么,1.0
79,让爱点亮,1.0
80,教育,1.0
81,西方奇幻,1.0
82,塔希里亚世界,1.0
83,文学评论,1.0
84,浪漫主义,1.0
85,塔希里亚故事集,1.0
86,科幻小说,1.0
87,人性,1.0
88,经济,1.0
89,西方古典音乐,1.0
90,诺贝尔文学奖,1.0
91,茅盾文学奖,1.0
92,夹边沟记事,1.0
93,何兆武,1.0
94,economics,1.0
95,吕楠,1.0
96,音乐学,1.0
97,建筑,1.0
98,黄金时代,1.0
99,渴望生活——梵高传,1.0
100,算法与数据结构,1.0
101,津巴多,1.0
102,古典,1.0
103,回忆录,1.0
104,德国文学,1.0
105,团体治疗,1.0
106,伯林,1.0
107,心理治疗小说,1.0
108,魔幻,1.0
109,精神分析,1.0
110,伊塔洛·卡尔维诺,1.0
111,杂文,1.0
112,人生的智慧,1.0
113,C专家编程,1.0
114,杨显惠,1.0
115,音乐欣赏,1.0
116,日本,1.0
117,吴淼,1.0
118,建筑学,1.0
119,经典教材,1.0
120,心学,1.0
121,programming,1.0
122,刘慈欣,1.0
123,老舍,1.0
124,王阳明,1.0
125,我的精神家园,1.0
126,袁越,1.0
127,欧文.斯通,1.0
128,以赛亚·伯林,1.0
129,赫尔曼·黑塞,1.0
130,東野圭吾,1.0
131,刀刀,1.0
132,散文,1.0
133,叶圣陶,1.0
134,口述史,1.0
135,津巴多普通心理学,1.0
136,卡尔维诺,1.0
137,美学,1.0
138,贡布里希,1.0
139,推理小说,1.0
140,白鹿原,1.0
141,东野圭吾,1.0
142,王小波杂文,1.0
143,夏丐尊,1.0
144,安德烈.巴赞,1.0
145,黑暗森林,1.0
146,王守仁,1.0
147,经济学,1.0
148,中国国家地理,1.0
149,人生,1.0
150,写作,1.0
151,三体,1.0
152,Programming,1.0
153,西南联大,1.0
154,美术学,1.0
155,欧文·斯通,1.0
156,生活,1.0
157,当代文学,1.0
158,政治哲学,1.0
159,经济管理,1.0
160,来自民间的叛逆,1.0
161,语文,1.0
162,慕容引刀,1.0
163,建筑史,1.0
164,社会学,1.0
165,艺术的故事,1.0
166,欧文·亚隆,1.0
167,意大利,1.0
168,推理,1.0
169,计算机科学,1.0
170,思考,1.0
171,法国,1.0
172,萨缪尔森,1.0
173,阿莱夫,1.0
174,自由主义,1.0
175,日本文学,1.0
176,人文,1.0
177,李泽厚,1.0
178,欧文·亚龙,1.0
179,单之蔷,1.0
180,指针,1.0
181,悬疑,1.0
182,西方音乐,1.0
183,编程艺术,1.0
184,黑塞,1.0
185,人物传记,1.0
186,中国科幻,1.0
187,绘本图书,1.0
188,电影,1.0
189,c,1.0
190,传习录,1.0
191,梵高,1.0
192,中国建筑史,1.0
