,word,wordnum
0,外国文学,7.0
1,小说,7.0
2,文学,7.0
3,艺术,6.0
4,理想国,5.0
5,中国文学,4.0
6,中国,3.0
7,传记,3.0
8,美国,3.0
9,英国文学,3.0
10,历史,3.0
11,俄国文学,2.0
12,经典,2.0
13,英国,2.0
14,散文,2.0
15,文化,2.0
16,自然,2.0
17,随笔,2.0
18,社会科学,2.0
19,社会,2.0
20,电影,2.0
21,艺术史,2.0
22,科普,2.0
23,肯.福莱特,1.0
24,死亡,1.0
25,言情,1.0
26,地理,1.0
27,影像,1.0
28,纪实,1.0
29,李娟,1.0
30,理性,1.0
31,诗,1.0
32,法国,1.0
33,电影方法论,1.0
34,不成问题的问题,1.0
35,编辑,1.0
36,社会学,1.0
37,孩子的诗,1.0
38,伯格曼,1.0
39,绘本,1.0
40,女性,1.0
41,苏俄文学,1.0
42,那不勒斯四部曲,1.0
43,思想,1.0
44,PattiSmith,1.0
45,俄罗斯,1.0
46,意大利文学,1.0
47,科学,1.0
48,托尔斯泰,1.0
49,散文随笔,1.0
50,阿斯塔菲耶夫,1.0
51,自然地理,1.0
52,成长,1.0
53,中国现当代文学,1.0
54,后浪漫,1.0
55,佛教史,1.0
56,J.A.Baker,1.0
57,编辑学,1.0
58,王小波,1.0
59,回忆录,1.0
60,漫画,1.0
61,科普博物,1.0
62,自然文学,1.0
63,科普读物,1.0
64,敦煌,1.0
65,摄影,1.0
66,文学/小说,1.0
67,向日葵地,1.0
68,现代艺术,1.0
69,攝影,1.0
70,Priest,1.0
71,甲骨文丛书,1.0
72,英格玛·伯格曼,1.0
73,出版,1.0
74,肯·福莱特,1.0
75,俄罗斯文学,1.0
76,二战,1.0
77,方法论,1.0
78,世纪三部曲,1.0
79,卡洛·罗韦利,1.0
80,阿巴斯·基亚罗斯塔米,1.0
81,武侠,1.0
82,理论,1.0
83,好书，值得一读,1.0
84,送个孩子最好的礼物，希望他可以诗意生活,1.0
85,甲骨文,1.0
86,量子引力,1.0
87,自由主义,1.0
88,priest,1.0
89,物理学,1.0
90,米尔斯,1.0
91,奥尔德斯·赫胥黎,1.0
92,意大利,1.0
93,世界的凛冬,1.0
94,心理学,1.0
95,物理,1.0
96,反乌托邦,1.0
97,埃莱娜•费兰特,1.0
98,杂文,1.0
99,艺术史书单,1.0
100,阿巴斯,1.0
101,野生生物,1.0
102,科学通识,1.0
103,赫胥黎,1.0
104,读诗,1.0
105,文化/生活,1.0
106,北极探险,1.0
107,考古,1.0
108,伊朗,1.0
109,社会理论,1.0
110,大学堂,1.0
111,新疆,1.0
112,音乐,1.0
113,瑞典,1.0
114,生存考验,1.0
115,诗歌,1.0
116,威尔·贡培兹,1.0
117,社会学/人类学,1.0
118,儿童文学,1.0
119,电影书,1.0
120,新武侠,1.0
121,帕蒂·史密斯,1.0
122,切尔诺贝利,1.0
123,野生动物,1.0
124,老舍,1.0
125,2017,1.0
126,敦煌学,1.0
127,随笔/杂文/小说/休闲/历史,1.0
128,地理学,1.0
129,俄国,1.0
130,探险,1.0
131,灾难,1.0
