,word,wordnum
0,经典,5.0
1,小说,4.0
2,计算机,3.0
3,外国文学,3.0
4,教材,3.0
5,爱情,2.0
6,中国文学,2.0
7,计算机科学,2.0
8,美国,2.0
9,钢琴,2.0
10,音乐,2.0
11,钢琴谱,2.0
12,琴谱,2.0
13,编程,2.0
14,艺术,1.0
15,哲理,1.0
16,文学,1.0
17,外国名著,1.0
18,学习,1.0
19,协议,1.0
20,米切尔·恩德,1.0
21,拜厄钢琴基本教程,1.0
22,入门,1.0
23,儿童文学,1.0
24,兵法,1.0
25,乐谱,1.0
26,弹过的钢琴书,1.0
27,历史,1.0
28,TCP:IP,1.0
29,热爱生命,1.0
30,名著,1.0
31,中国现当代文学,1.0
32,剧本,1.0
33,波澜不惊的爱,1.0
34,网络,1.0
35,国学,1.0
36,毛毛,1.0
37,军事,1.0
38,软件工程,1.0
39,中国,1.0
40,童话,1.0
41,拜厄,1.0
42,古典文学,1.0
43,摄影,1.0
44,科普,1.0
45,TCP/IP,1.0
46,当代文学,1.0
47,攝影,1.0
48,软件设计,1.0
49,飘,1.0
50,孙子兵法,1.0
51,哲学,1.0
52,美国纽约摄影学院摄影教材,1.0
53,军事学,1.0
54,杰克·伦敦,1.0
55,programming,1.0
56,生命,1.0
57,哈农,1.0
58,时间,1.0
59,软件开发,1.0
60,大明宫词,1.0
61,古典,1.0
62,戏剧,1.0
63,编码,1.0
64,德国,1.0
65,指法,1.0
66,网络协议,1.0
67,design,1.0
68,美国纽约摄影学院摄影教材(上册),1.0
69,生存,1.0
70,汪曾祺,1.0
71,程序设计,1.0
72,设计模式,1.0
73,教程,1.0
