,word,wordnum
0,经典,4.0
1,中国,4.0
2,小说,4.0
3,哲学,3.0
4,外国文学,2.0
5,名著,2.0
6,古典文学,2.0
7,异乡,1.0
8,一直在读,1.0
9,政治,1.0
10,现代汉语词典,1.0
11,语言学,1.0
12,逻辑哲学论,1.0
13,撒哈拉的故事,1.0
14,亚里士多德,1.0
15,美学,1.0
16,红楼梦,1.0
17,分析哲学,1.0
18,工具书,1.0
19,英国,1.0
20,道德经,1.0
21,国学,1.0
22,爱情,1.0
23,古典名著,1.0
24,老子,1.0
25,逻辑,1.0
26,古希腊,1.0
27,曹雪芹,1.0
28,历史,1.0
29,傲慢与偏见,1.0
30,语言,1.0
31,沙漠,1.0
32,俄罗斯,1.0
33,文艺理论,1.0
34,黄蓓佳,1.0
35,儿童文学,1.0
36,汉语,1.0
37,语言哲学,1.0
38,戏剧,1.0
39,字典,1.0
40,词典,1.0
41,童年,1.0
42,宗教,1.0
43,中国文学,1.0
44,基督,1.0
45,反乌托邦,1.0
46,文学理论,1.0
47,基督教,1.0
48,童年记忆,1.0
49,三毛作品集,1.0
50,信仰,1.0
51,我要做好孩子,1.0
52,聖經,1.0
53,道家,1.0
54,逻辑学,1.0
55,奥斯汀,1.0
56,西方哲学,1.0
57,诗学,1.0
58,圣经,1.0
59,维特根斯坦,1.0
60,三毛,1.0
61,散文,1.0
62,俄罗斯文学,1.0
63,童年回忆,1.0
64,外国名著,1.0
65,索尔仁尼琴,1.0
