,word,wordnum
0,外国文学,8.0
1,小说,6.0
2,文学,5.0
3,好书，值得一读,4.0
4,历史,3.0
5,美国,3.0
6,英国,3.0
7,科普,2.0
8,毛姆,2.0
9,经典,2.0
10,漫画,2.0
11,英国文学,2.0
12,诗,2.0
13,法国,2.0
14,随笔,2.0
15,拉美文学,2.0
16,诗歌,2.0
17,中国文学,2.0
18,尼尔·盖曼,1.0
19,日本,1.0
20,言情,1.0
21,政治,1.0
22,艺术史,1.0
23,脑洞很大,1.0
24,自然,1.0
25,理想国,1.0
26,英国小说,1.0
27,传记,1.0
28,DC,1.0
29,塞尔努达,1.0
30,旅行,1.0
31,哥伦比亚,1.0
32,历史小说,1.0
33,加缪,1.0
34,预防医学,1.0
35,想读，一定很精彩！,1.0
36,绘本,1.0
37,哲学,1.0
38,肯·福莱特,1.0
39,诗集,1.0
40,Priest,1.0
41,我想读这本书,1.0
42,晋江,1.0
43,睡魔,1.0
44,西伯利亚,1.0
45,生活美感,1.0
46,重口味科普,1.0
47,科学,1.0
48,明史,1.0
49,散文随笔,1.0
50,奇幻,1.0
51,成长,1.0
52,摄影,1.0
53,理想国译丛,1.0
54,思想,1.0
55,回忆录,1.0
56,后浪,1.0
57,武侠小说,1.0
58,奥斯维辛,1.0
59,刘和平,1.0
60,短篇小说,1.0
61,西班牙文学,1.0
62,心理学,1.0
63,武侠,1.0
64,自传,1.0
65,阿尔贝·加缪,1.0
66,天文,1.0
67,绘画,1.0
68,宇宙学,1.0
69,美漫,1.0
70,大都会,1.0
71,星野道夫,1.0
72,二战,1.0
73,神作,1.0
74,图像小说,1.0
75,路易斯·塞尔努达,1.0
76,艺术,1.0
77,健康类图书,1.0
78,豪尔赫·路易斯·博尔赫斯,1.0
79,法国文学,1.0
80,西班牙,1.0
81,医学,1.0
82,明朝,1.0
83,纳粹,1.0
84,加繆,1.0
85,马尔克斯,1.0
86,约翰·斯坦贝克,1.0
87,priest,1.0
88,阿根廷文学,1.0
89,大都会艺术博物馆,1.0
90,博物馆,1.0
91,自由,1.0
92,面纱,1.0
93,社会/历史,1.0
94,阿根廷,1.0
95,宇宙,1.0
96,德国,1.0
97,日本文学,1.0
98,短篇集,1.0
99,生活,1.0
100,健康,1.0
101,中短篇,1.0
102,博尔赫斯,1.0
103,孤独,1.0
104,美国文学,1.0
105,汪曾祺,1.0
106,散文,1.0
107,加西亚·马尔克斯,1.0
