,word,wordnum
0,经典,7.0
1,外国文学,6.0
2,小说,4.0
3,日本,4.0
4,儿童文学,4.0
5,童话,4.0
6,计算机,3.0
7,历史,3.0
8,美国,3.0
9,编程,3.0
10,诗歌,3.0
11,中国文学,3.0
12,随笔,3.0
13,哲学,3.0
14,计算机科学,2.0
15,德国,2.0
16,繪本,2.0
17,传记,2.0
18,绘本,2.0
19,西方哲学,2.0
20,人生,2.0
21,回忆录,2.0
22,散文,2.0
23,宫西达也,2.0
24,程序设计,2.0
25,中国,2.0
26,宋词，国学，古典诗词,1.0
27,苦难,1.0
28,理性,1.0
29,象征主义,1.0
30,政治,1.0
31,奥得弗雷德·普鲁士勒,1.0
32,计算机系统,1.0
33,工具书,1.0
34,纯粹理性批判,1.0
35,萨缪尔森,1.0
36,诗,1.0
37,牛津高阶英汉双解词典,1.0
38,经济学：第17版,1.0
39,法国,1.0
40,黎巴嫩,1.0
41,欧文·亚隆,1.0
42,苏格拉底,1.0
43,OS,1.0
44,银英,1.0
45,民主,1.0
46,茨威格,1.0
47,psychology,1.0
48,你看起来好像很好吃,1.0
49,纪伯伦,1.0
50,活着,1.0
51,奥地利,1.0
52,留在记忆中的经典童话,1.0
53,古典哲学,1.0
54,童书,1.0
55,诗词,1.0
56,欧洲,1.0
57,Yalom,1.0
58,魔幻,1.0
59,王太庆,1.0
60,旷野的呼唤,1.0
61,科幻,1.0
62,古典,1.0
63,温暖,1.0
64,C/C++,1.0
65,程序员,1.0
66,SICP,1.0
67,漫画,1.0
68,宋词,1.0
69,动物,1.0
70,斯蒂芬・茨威格,1.0
71,架空历史,1.0
72,宗教,1.0
73,余华,1.0
74,佛教,1.0
75,散文诗,1.0
76,C,1.0
77,康德,1.0
78,古典文学,1.0
79,我是霸王龙,1.0
80,英语,1.0
81,银河英雄传说,1.0
82,王道乾,1.0
83,童话_奥得弗雷德·普鲁士勒（德国）,1.0
84,经济学,1.0
85,法国文学,1.0
86,兰波,1.0
87,佛经,1.0
88,英语学习,1.0
89,辞典,1.0
90,宋词三百首,1.0
91,柏拉图,1.0
92,LISP,1.0
93,柏拉图对话集,1.0
94,词典,1.0
95,美国小说,1.0
96,俄罗斯文学,1.0
97,文化,1.0
98,大盗贼,1.0
99,心理治疗,1.0
100,教材,1.0
101,记忆与印象,1.0
102,心理学,1.0
103,心理咨询与治疗,1.0
104,社会,1.0
105,安房直子,1.0
106,布尔加科夫,1.0
107,经济,1.0
108,dictionary,1.0
109,Scheme,1.0
110,魔幻现实主义,1.0
111,俄国文学,1.0
112,佛,1.0
113,当代文学,1.0
114,幻想,1.0
115,田中芳树,1.0
116,朴实自然真挚,1.0
117,风与树的歌,1.0
118,操作系统,1.0
119,史铁生,1.0
120,佛学,1.0
121,古希腊,1.0
122,Oxford,1.0
123,林达,1.0
124,心理咨询,1.0
125,自由,1.0
126,编程语言,1.0
127,经济学理论,1.0
128,日本文学,1.0
129,佛法,1.0
130,高尔泰,1.0
131,记忆,1.0
132,地藏菩萨本愿经,1.0
133,文学,1.0
134,智慧的先知,1.0
135,c语言,1.0
136,杰克.伦敦,1.0
137,我就是那霸王龙式的孩子,1.0
138,programming,1.0
139,心理,1.0
140,俄罗斯,1.0
