,book_name,tags,year
190,唐诗三百首 (豆瓣),"['孙子兵法', '古典文学', '兵法', '哲学', '军事', '国学', '古典', '军事学']", 2000-3
191,資治通鑑（全二十冊） (豆瓣),"['历史', '资治通鉴', '司马光', '中国历史', '经典', '史书', '国学', '古籍']", 1956-6
192,基督山伯爵(上下) (豆瓣),"['大仲马', '小说', '法国', '外国文学', '基督山伯爵', '经典', '名著', '法国文学']", 1999-8-1
193,风与树的歌 (豆瓣),"['安房直子', '童话', '日本', '儿童文学', '风与树的歌', '日本文学', '温暖', '幻想']", 2004-03-01
194,寻找家园 (豆瓣),"['高尔泰', '回忆录', '散文', '随笔', '历史', '中国', '人生', '传记']", 2004-11-03
195,冰与火之歌·卷四·群鸦的盛宴（全两册） (豆瓣),"['冰与火之歌', '奇幻', '乔治·马丁', '小说', '史诗', '美国', '魔幻', '西方奇幻']", 2008-09
196,我在伊朗长大 (豆瓣),"['伊朗', '漫画', '绘本', '玛赞·莎碧', '外国文学', '历史', '漫画·绘本', '三联']", 2010-1
197,现代汉语词典（修订本） (豆瓣),"['工具书', '现代汉语词典', '词典', '汉语', '中国', '语言', '字典', '语言学']", 1996-7
198,庄子 (豆瓣),"['庄子', '哲学', '国学', '古典文学', '诸子百家', '中国经典哲学思想', '经典', '中国古典文学']", 2007-04
199,卡拉马佐夫兄弟 (豆瓣),"['陀思妥耶夫斯基', '小说', '俄国文学', '俄罗斯', '卡拉马佐夫兄弟', '外国文学', '厚重的现实主义', '文学']", 2006-8
200,C程序设计语言 (豆瓣),"['C', 'c语言', '编程', '计算机', '程序设计', '经典', '编程语言', 'C/C++']", 2004-1
201,卡尔维诺文集（第三卷） (豆瓣),"['卡尔维诺', '小说', '意大利', '外国文学', '伊塔洛・卡尔维诺', '我们的祖先', '意大利文学', '文学']", 2001-9
202,源泉 (豆瓣),"['安·兰德', '小说', '个人主义', '哲学', '美国', '外国文学', '理想，勇气，爱', '源泉']", 2005-11
203,冰与火之歌（卷一） (豆瓣),"['冰与火之歌', '奇幻', '乔治·马丁', '史诗', '小说', '西方奇幻', '魔幻', '外国文学']", 2005-5
204,我的团长我的团（下部） (豆瓣),"['兰晓龙', '我的团长我的团', '小说', '远征军', '战争', '中国', '缅北之战', '中国文学']", 2009-1
205,唐诗三百首 (豆瓣),"['唐诗三百首', '诗歌', '古典文学', '诗词', '唐诗', '经典', '中国', '古典']", 1998-1-1
206,南京浩劫 (豆瓣),"['历史', '张纯如', '南京大屠杀', '纪实', '张纯如：南京暴行-被遗忘的大屠杀', '二战', '南京浩劫', '战争']", 2007-8
207,王小波全集 (豆瓣),"['王小波', '现代文学', '中国文学', '思维的乐趣', '文学', '小说', '杂文', '王小波全集']", 2006-7
208,猜猜我有多爱你 (豆瓣),"['绘本', '猜猜我有多爱你', '温暖', '童话', '儿童文学', '儿童', '童书', '童心']", 2005-4
209,基地 (豆瓣),"['科幻', '阿西莫夫', '基地系列', '科幻小说', '小说', '经典', '科幻经典', '美国']", 2005-1
210,银河英雄传说 (豆瓣),"['田中芳树', '科幻', '银河英雄传说', '小说', '日本', '架空历史', '银英', '漫画']", 2004-7-1
211,猫城小事 (豆瓣),"['绘本', '猫', '莫莉蓟野', '日本', '猫国物语', '猫城小事', '繪本', '漫画']", 2009-10
212,我在伊朗长大1 (豆瓣),"['绘本', '伊朗', '玛赞·莎塔碧', '漫画', '我在伊朗长大', '历史', '漫画绘本', '文学']", 2006-4
213,國史大綱（上下） (豆瓣),"['历史', '钱穆', '国史大纲', '中国历史', '国学', '经典', '中国史', '中国']", 2013-8
214,乡土中国 生育制度 (豆瓣),"['社会学', '费孝通', '乡土中国', '人类学', '中国', '社会', '农村', '文化']", 1998-5-1
215,365夜故事（上下） (豆瓣),"['小时候的书', '童话', '童年', '儿童文学', '童年回忆', '365', '故事书', '中国']", 1987-2
216,基地与帝国 (豆瓣),"['科幻', '阿西莫夫', '基地系列', '小说', '科幻小说', '美国', '经典', '基地']", 2005-1
217,顾准文集 (豆瓣),"['顾准', '思想', '哲学', '民主', '历史', '思考', '经济', '社会理论:社会学']", 2007-4-1
218,飘（全二册） (豆瓣),"['外国文学', '飘', '经典', '小说', '爱情', '美国', '米切尔', '名著']", 1990-8
219,一九八四·动物农场 (豆瓣),"['反乌托邦', '乔治·奥威尔', '奥威尔', '政治', '1984', '小说', '外国文学', '经典']", 2003-4
220,飲水詞箋校 (豆瓣),"['纳兰性德', '饮水词', '诗词', '古典文学', '纳兰容若', '古典诗词', '文学', '古典']", 2005-7-1
221,渴望生活 (豆瓣),"['传记', '梵高', '渴望生活——梵高传', '艺术', '人物传记', '欧文.斯通', '外国文学', '欧文·斯通']", 2008-4
222,随风而来的玛丽阿姨 (豆瓣),"['童话', '儿童文学', '随风而来的玛丽阿姨', '英国', '奇幻', '外国文学', '童书', '经典']", 2005
223,霍乱时期的爱情 (豆瓣),"['霍乱时期的爱情', '加西亚-马尔克斯', '爱情', '加西亚·马尔克斯', '小说', '拉美文学', '外国文学', '文学']", 2012-9-1
224,月亮和六便士 (豆瓣),"['毛姆', '小说', '月亮和六便士', '外国文学', '英国', '英国文学', '文学', '傅惟慈译']", 2009-10
225,从一到无穷大 (豆瓣),"['科普', '数学', '科学', '自然科学', '从一到无穷大', '伽莫夫', '物理', '经典']", 2002-11
226,论美国的民主 (豆瓣),"['托克维尔', '民主', '美国', '政治学', '政治', '社会学', '政治哲学', '历史']", 1989-1-1
227,全球通史(上) (豆瓣),"['历史', '全球通史', '斯塔夫里阿诺斯', '世界历史', '文明', '历史学', '通史', '全球通史(上)']", 2006-1-10
228,全球通史(下) (豆瓣),"['历史', '全球通史', '斯塔夫里阿诺斯', '世界历史', '世界史', '全球通史(下)', '通史', '美国']", 2006-10
229,上帝掷骰子吗 (豆瓣),"['科普', '量子物理', '物理', '量子力学', '科学史', '科学', '物理学', '哲学']", 2006-1
230,给青年诗人的信 (豆瓣),"['里尔克', '诗歌', '书信', '给青年诗人的信', '外国文学', '文学', '德国', '冯至']", 2005-10
231,快乐王子 (豆瓣),"['王尔德', '童话', '英国', '快乐王子', '外国文学', '英国文学', '儿童文学', '经典']", 2007-7
232,代码大全（第2版） (豆瓣),"['编程', '代码大全', '软件开发', '计算机', '软件工程', '程序设计', '代码', 'programming']", 2006-3
233,C++ Primer 中文版（第 4 版） (豆瓣),"['C++', '编程', '计算机', '程序设计', 'C/C++', '经典', '经典教材', '经典之作']", 2006
234,三体Ⅱ (豆瓣),"['科幻', '刘慈欣', '三体', '科幻小说', '黑暗森林', '小说', '中国科幻', '中国']", 2008-5
235,爷爷变成了幽灵 (豆瓣),"['绘本', '爷爷变成了幽灵', '儿童文学', '丹麦', '童话', '感人', '国外绘本', '瑞典']", 2007-12
236,肖申克的救赎 (豆瓣),"['肖申克的救赎', '斯蒂芬·金', '小说', '经典', '外国文学', '希望', '美国', '悬疑']", 2006-7
237,安徒生童话故事集 (豆瓣),"['童话', '安徒生', '经典', '外国文学', '儿童文学', '安徒生童话', '安徒生童话故事集', '名著']", 1997-08
238,平凡的世界（全三册） (豆瓣),"['路遥', '平凡的世界', '中国文学', '小说', '现实主义', '经典', '茅盾文学奖', '人生']", 2009-1
239,撒哈拉的故事 (豆瓣),"['三毛', '撒哈拉的故事', '散文', '随笔', '游记', '台湾', '中国文学', '文学']", 2003-8
240,飘 (豆瓣),"['飘', '外国文学', '经典', '爱情', '小说', '外国名著', '美国', '名著']", 2000-9
241,三国演义（全二册） (豆瓣),"['三国演义', '古典文学', '古典名著', '罗贯中', '小说', '历史', '名著', '中国']", 1998-05
242,王尔德童话 (豆瓣),"['王尔德', '童话', '王尔德童话', '英国', '外国文学', '英国文学', '儿童文学', '经典']", 2003-6
243,先知 (豆瓣),"['纪伯伦', '哲学', '诗歌', '外国文学', '先知', '哲诗', '文学', '思想']", 2007-8
244,加缪文集 (豆瓣),"['加缪', '哲学', '存在主义', '法国', '小说', '外国文学', '法国文学', '加缪文集']", 1999-5
245,维特根斯坦传 (豆瓣),"['维特根斯坦', '传记', '哲学', '人物传记', '哲学家，传记，维特根斯坦', '天才', '英国', 'Ludwig_Wittgenstein']", 2011-6
246,新华字典（1998年修订本） (豆瓣),"['工具书', '字典', '新华字典(1998年修订本)', '中国', '经典', '新华字典', '现代汉语', '学习']", 1998-6
247,我的团长我的团（上部） (豆瓣),"['我的团长我的团', '兰晓龙', '小说', '远征军', '战争', '缅北之战', '中国', '中国文学']", 2009-1
248,社会性动物 (豆瓣),"['心理学', '社会心理学', '社会学', '心理', '社会性动物', '人类学', '社会', '美国']", 2007-12
249,公正 (豆瓣),"['哲学', '政治哲学', '迈克尔•桑德尔', '正义', '公开课', '伦理学', '哈佛', '美国']", 2011-1-1
250,设计模式 (豆瓣),"['设计模式', '软件工程', '计算机', '编程', '软件开发', '软件设计', '程序设计', 'design']", 2000-9
251,人生的智慧 (豆瓣),"['哲学', '叔本华', '人生的智慧', '西方哲学', '人生', '思想', '智慧', '德国']", 2015-11
252,什么是数学 (豆瓣),"['数学', '科普', '思维', '什么是数学', '方法论', '科学', '自然科学', '本质']", 2005-5
253,三国志（全五册） (豆瓣),"['历史', '三国志', '陈寿', '中国历史', '三国', '二十四史', '经典', '古典文学']", 2011-10
254,夹边沟记事 (豆瓣),"['纪实', '历史', '苦难', '杨显惠', '夹边沟记事', '中国历史', '反右', '中国']", 2008-09
255,明朝那些事儿（1-9） (豆瓣),"['历史', '明朝那些事儿', '明朝', '当年明月', '中国历史', '中国文学', '小说', '中国']", 2009-4
256,昨日的世界 (豆瓣),"['茨威格', '回忆录', '历史', '斯蒂芬・茨威格', '传记', '外国文学', '欧洲', '奥地利']", 2004-5-1
257,唐诗鉴赏辞典 (豆瓣),"['唐诗', '诗词', '古典文学', '鉴赏', '中国古典文学', '诗歌', '辞典', '文学']", 1999-11
258,星空 (豆瓣),"['幾米', '绘本', '几米', '星空', '成长', '心灵', '漫画', '台湾']", 2009-5-1
259,博尔赫斯小说集 (豆瓣),"['博尔赫斯', '小说', '阿根廷', '外国文学', '博尔赫斯小说集', '文学', '经典', '迷宫小说']", 2005-12
260,江城 (豆瓣),"['纪实中国', '纪实', '何伟', '中国', '旅行', '随笔', '社会', '美国@Peter_Hessler']", 2012-1
261,海的女儿 (豆瓣),"['童话', '安徒生', '海的女儿', '丹麦', '外国文学', '经典', '儿童文学', '童年']", 1978年6月
262,福尔摩斯探案全集（上中下） (豆瓣),"['福尔摩斯', '推理', '侦探', '柯南道尔', '侦探小说', '经典', '小说', '英国']", 1981-8
263,让爱点亮 (豆瓣),"['刀刀', '绘本', '慕容引刀', '漫画', '让爱点亮', '温暖', '中国', '绘本图书']", 2008-5
264,悉达多 (豆瓣),"['赫尔曼·黑塞', '黑塞', '小说', '宗教', '德国', '外国文学', '佛教', '德国文学']", 2009-3
265,美国纽约摄影学院摄影教材（上） (豆瓣),"['摄影', '美国纽约摄影学院摄影教材', '美国纽约摄影学院摄影教材(上册)', '攝影', '教材', '艺术', '教程', '学习']", 2000-03
266,UNIX编程艺术 (豆瓣),"['UNIX', '编程', '编程艺术', '计算机', '文化', 'programming', 'linux', '软件开发']", 2006-2
267,追忆似水年华（上下册） (豆瓣),"['追忆似水年华', '普鲁斯特', '意识流', '小说', '法国', '外国文学', '法国文学', '马塞尔・普鲁斯特']", 2001-4
268,忧郁的热带 (豆瓣),"['人类学', '列维·斯特劳斯', '社会学', '忧郁的热带', '游记', '法国', '结构主义', '文化']", 2005-6
269,狂热分子 (豆瓣),"['社会学', '社会心理学', '群体心理学', '心理学', '狂热分子', '政治学', '社会', '政治']", 2011-6
270,中国历代政治得失 (豆瓣),"['历史', '钱穆', '政治', '中国历史', '中国历代政治得失', '中国', '经典', '国学']", 2001
271,营销管理 (豆瓣),"['营销', '营销管理', '市场营销', '菲利普·科特勒', '管理', '营销管理（第12版）', '商业', '管理学']", 2006-9
272,爱心树 (豆瓣),"['绘本', '爱心树', '谢尔·希尔弗斯坦', '儿童文学', '童话', '美国', '希尔弗斯坦', '童书']", 2003-9-1
273,活着 (豆瓣),"['余华', '小说', '活着', '苦难', '中国文学', '人生', '当代文学', '中国']", 2004-5
274,好妈妈胜过好老师 (豆瓣),"['育儿', '教育', '家庭教育', '儿童教育', '好妈妈胜过好老师', '亲子', '幼儿教育', '家庭']", 2009-1-1
275,我在伊朗长大3 (豆瓣),"['绘本', '伊朗', '玛赞·莎塔碧', '漫画', '我在伊朗长大', '历史', '自传', '漫画绘本']", 2006-4
276,父与子全集 (豆瓣),"['漫画', '父与子', '永恒的经典——父与子', '幽默', '德国', '亲情', '经典', '卜劳恩']", 2003-4
277,被爱路过 (豆瓣),"['刀刀', '绘本', '被爱路过', '慕容引刀', '漫画', '温暖的绘本', '情感', '生活']", 2007-9
278,子猫絮语 (豆瓣),"['绘本', '猫', '莫莉蓟野', '日本', '子猫絮语', '猫国物语', '繪本', '漫画']", 2009-5
279,动物农场 (豆瓣),"['乔治·奥威尔', '政治寓言', '反乌托邦', '小说', '极权主义', '政治', '外国文学', '英国']", 2007-3
280,沉默的大多数 (豆瓣),"['王小波', '杂文', '沉默的大多数', '思想', '随笔', '中国文学', '文学', '中国']", 1997-10
281,阿狸·梦之城堡 (豆瓣),"['阿狸', '绘本', '温暖', '童话绘本', '梦之城堡', '童话', '感动', '爱']", 2009-1
282,活着 (豆瓣),"['余华', '活着', '小说', '中国文学', '人生', '生活', '文学', '当代']", 1998-5
283,小王子 (豆瓣),"['小王子', '童话', '经典', '圣埃克苏佩里', '成长', '法国', '外国文学', '哲学']", 2003-8
284,白夜行 (豆瓣),"['东野圭吾', '東野圭吾', '推理', '悬疑', '日本', '推理小说', '日本文学', '人性']", 2008-9
285,东方快车谋杀案 (豆瓣),"['阿加莎·克里斯蒂', '推理', '推理小说', '英国', '侦探推理', '东方快车谋杀案', '侦探', '小说']", 2006-5
286,傲慢与偏见 (豆瓣),"['傲慢与偏见', '奥斯汀', '外国文学', '爱情', '小说', '英国', '名著', '外国名著']", 1996-12
287,我的精神家园 (豆瓣),"['王小波', '杂文', '我的精神家园', '随笔', '思想', '中国文学', '文学', '中国']", 1997
288,历史深处的忧虑 (豆瓣),"['美国', '林达', '政治', '历史', '文化', '社会', '民主', '随笔']", 1997-5
289,经济学原理（上下） (豆瓣),"['经济学', '经济学原理', '曼昆', '经济学入门', '经济', '经典', '教材', 'economics']", 2003-8
290,十万个为什么 (豆瓣),"['科普', '十万个为什么', '小时候的书', '童年', '启蒙', '儿童', '中国', '小时候']", 1962
291,象棋的故事 (豆瓣),"['茨威格', '小说', '奥地利', '外国文学', '象棋的故事', '经典', '文学', '斯蒂芬·茨威格']", 2007-7
292,沉默的大多数 (豆瓣),"['王小波', '杂文', '沉默的大多数', '思想', '随笔', '中国文学', '中国', '文学']", 2006-4
293,嫌疑人X的献身 (豆瓣),"['东野圭吾', '推理', '日本', '推理小说', '小说', '嫌疑人X的献身', '東野圭吾', '日本文学']", 2009-11
294,全本新注聊斋志异（全三册） (豆瓣),"['蒲松龄', '古典文学', '聊斋', '小说', '中国古典文学', '中国文学', '古典', '中国']", 1989-9
295,楚辞 (豆瓣),"['楚辞', '古典文学', '诗歌', '国学', '中国文学', '古典', '诗词', '古籍']", 2003-03-01
296,2001太空漫游 (豆瓣),"['科幻', '阿瑟·克拉克', '科幻小说', '小说', '太空漫游', '英国', '经典', '英国文学']", 2007-11
297,你一生的故事 (豆瓣),"['科幻', '特德·蒋', '科幻小说', '小说', '你一生的故事', '美国', '短篇', '世界科幻大师丛书']", 2005-2
298,你看起来好像很好吃 (豆瓣),"['绘本', '你看起来好像很好吃', '日本', '宫西达也', '儿童文学', '童话', '我就是那霸王龙式的孩子', '繪本']", 2004-06
299,三毛流浪记（全集） (豆瓣),"['漫画', '三毛', '张乐平', '经典', '中国漫画', '中国', '童年', '绘本']", 1995-10
300,三毛从军记全集 (豆瓣),"['漫画', '三毛', '张乐平', '童年', '中国', '中国漫画', '经典', '记忆']", 1990-1
301,金色梦乡 (豆瓣),"['伊坂幸太郎', '日本', '推理', '日本文学', '小说', '推理小说', '日系推理', '悬疑']", 2010-9
302,寻路中国 (豆瓣),"['纪实中国', '旅行', '纪实', '中国', '何伟', '寻路中国', '社会学', '社会']", 2011-1
303,规训与惩罚 (豆瓣),"['福柯', '社会学', '哲学', '规训与惩罚', '西方哲学', '法国', '思想', '监狱']", 2003-1
304,刀锋 (豆瓣),"['毛姆', '小说', '英国', '外国文学', '英国文学', '刀锋', '经典', '文学']", 2007-3
305,父亲的战场 (豆瓣),"['历史', '中国远征军', '抗日', '远征军', '纪实', '章东磐', '被刻意掩盖的历史', '军事']", 2009-7
306,海伯利安 (豆瓣),"['科幻', '海伯利安', '丹·西蒙斯', '科幻小说', '太空歌剧', '小说', '美国', '经典']", 2007-5
307,大师和玛格丽特 (豆瓣),"['布尔加科夫', '小说', '俄罗斯', '魔幻', '外国文学', '俄国文学', '俄罗斯文学', '魔幻现实主义']", 2004-06
308,我也有一个梦想 (豆瓣),"['林达', '美国', '政治', '文化', '历史', '民主', '社会', '随笔']", 2004-08
309,人间词话 (豆瓣),"['王国维', '人间词话', '诗词', '国学', '文学', '古典', '古文诗词', '经典']", 1998-12-01
310,圣经 (豆瓣),"['圣经', '宗教', '信仰', '聖經', '基督', '基督教', '经典', '一直在读']", 1996
311,传统十论 (豆瓣),"['历史', '秦晖', '社会学', '文化', '社会', '传统十论', '政治哲学', '传统']", 2003-10-1
312,受戒 (豆瓣),"['汪曾祺', '小说', '中国文学', '短篇集', '洁净优美动人', '文学', '中国现当代文学', '受戒']", 2012-7
313,巨人的陨落 (豆瓣),"['历史', '小说', '外国文学', '肯·福莱特', '好书，值得一读', '经典', '英国小说', '英国']", 2016-5-1
314,大路 (豆瓣),[], 2015-11-1
315,独裁者手册 (豆瓣),"['政治学', '政治', '社会学', '独裁', '民主', '社会', '政治哲学', '美国']", 2014-5
316,海洋帝国 (豆瓣),"['历史', '地中海史诗三部曲', '地中海', '欧洲历史', '罗杰·克劳利', '文明冲突', '奥斯曼', '世界历史']", 2014-6
317,甲骨文 (豆瓣),"['中国', '何伟', 'PeterHessler', '社会', '社会学', '纪实中国', '文化', '甲骨文']", 2007-5-7
318,我是霸王龙 (豆瓣),"['绘本', '宫西达也', '日本', '我是霸王龙', '儿童文学', '童话', '童书', '繪本']", 2004-06
319,杀死一只知更鸟 (豆瓣),"['成长', '杀死一只知更鸟', '美国文学', '教育', '经典', '小说', '外国文学', '哈珀·李']", 2012-9
320,柳如是别传（全三册） (豆瓣),"['陈寅恪', '传记', '柳如是', '历史', '柳如是别传', '国学', '女性', '晚清-民国学者']", 2001-1
321,灯塔 (豆瓣),"['孤独', '外国文学', '心理学', '漫画', '法国', '绘本', '自由', '图像小说']", 2016-2
322,万水千山走遍 (豆瓣),"['三毛', '旅行', '散文', '万水千山走遍', '随笔', '台湾', '中国文学', '三毛echo']", 2009-4
323,The Ph.D. Grind (豆瓣),"['PhD', '学术', '传记', '美国', '方法论', 'ComputerScience', '计算机', 'Biography']", 2012-7-1
324,金枝 (豆瓣),"['人类学', '宗教', '詹姆斯・乔治・弗雷泽', '文化', '巫術', '神话', '历史', '神秘']", 1998-01
325,丰饶之海（上下） (豆瓣),"['三岛由纪夫', '日本文学', '日本', '小说', '丰饶之海', '文学', '细细迷迷的迷离失所', '外国文学']", 2001-1
326,魔戒 (豆瓣),"['奇幻', 'J.R.R.托尔金', '魔戒', '小说', '英国', '魔幻', '外国文学', '托尔金']", 2013-9
327,斐多 (豆瓣),"['哲学', '柏拉图', '杨绛', '古希腊', '西方哲学', '苏格拉底', '柏拉圖', '三联']", 2011-3
328,顾城哲思录 (豆瓣),"['顾城', '哲学', '哲思', '中国文学', '思想', '诗心', '文学', '当代文学']", 2012-8-1
329,韦伯作品集Ⅻ:新教伦理与资本主义精神 (豆瓣),"['社会学', '韦伯', '宗教', '新教伦理与资本主义精神', '哲学', '政治哲学', '经济学', '社会']", 2007-7
330,孤城闭 (豆瓣),"['米兰Lady', '小说', '宋代', '历史', '历史言情', '言情', '古典', '古言']", 2009-09-11
331,传习录 (豆瓣),"['王阳明', '哲学', '心学', '国学', '中国哲学', '传习录', '王守仁', '古典']", 2008-1
332,C Primer Plus (豆瓣),"['编程', 'c', 'c语言', '计算机', '程序设计', 'C', '经典', 'programming']", 2005-2-1
333,万历十五年（增订本） (豆瓣),"['历史', '黄仁宇', '明史', '万历十五年', '中国历史', '明朝', '经典', '中国']", 2007-1
334,论法的精神（上） (豆瓣),"['孟德斯鸠', '法学', '政治学', '法律', '哲学', '论法的精神', '政治哲学', '思想']", 1961-11
335,江村经济 (豆瓣),"['社会学', '费孝通', '人类学', '农村', '江村经济', '中国', '经济', '社会']", 2007-8
336,麒麟之与子同袍 (豆瓣),"['耽美', '桔子树', '军事', '麒麟', '夏明朗', '陆臻', '最爱❤', '小说']", 2011-6-10
337,快乐王子 (豆瓣),"['王尔德', '童话', '英国', '外国文学', '奥斯卡·王尔德', '英国文学', '儿童文学', '文学']", 2010-4-1
338,羊道·深山夏牧场 (豆瓣),"['李娟', '散文', '新疆', '随笔', '阿勒泰', '散文随笔', '羊道·深山夏牧场', '中国文学']", 2012-8-25
339,安娜·卡列尼娜 (豆瓣),"['托尔斯泰', '俄国文学', '列夫·托尔斯泰', '经典', '外国文学', '小说', '文学', '俄国']", 2007-8
340,羊道·前山夏牧场 (豆瓣),"['李娟', '散文', '新疆', '随笔', '阿勒泰', '散文随笔', '自然', '中国文学']", 2012-8-25
341,英语魔法师之语法俱乐部 (豆瓣),"['英语', '英语学习', '语法', '英语语法', '英语魔法师之语法俱乐部', '旋元佑', '工具书', 'English']", 2001-5
342,编码的奥秘 (豆瓣),"['计算机', '编码', '计算机科学', '编程', '科普', '入门', '经典', 'programming']", 2000-9-1
343,天人五衰 (豆瓣),"['三岛由纪夫', '日本文学', '日本', '小说', '三島由紀夫', '丰饶之海', '天人五衰', '文学']", 2011-4
344,霸王别姬 (豆瓣),"['李碧华', '霸王别姬', '小说', '香港', '张国荣', '电影原著', '中国文学', '爱情']", 1993年8月
345,给青年诗人的信 (豆瓣),"['里尔克', '外国文学', '书信集', '诗歌', '书信', '奥地利', '诗', '文学']", 2011-2
346,JavaScript语言精粹 (豆瓣),"['JavaScript', 'Web前端开发', '编程', 'javacript', 'web开发', '计算机', ""O'Reilly"", 'web']", 2009-4
347,芥川龙之介全集 (豆瓣),"['芥川龙之介', '日本文学', '日本', '小说', '芥川龙之介全集', '文学', '短篇', '文集']", 2005-3
348,集体智慧编程 (豆瓣),"['数据挖掘', '机器学习', '算法', '人工智能', '编程', '计算机', '集体智慧', '计算机科学']", 2009-1
349,棋王.樹王.孩子王 (豆瓣),"['阿城', '小说', '中国文学', '当代文学', '文革', '中国', '文学', '中國文學']", 2007-1-1
350,电影是什么？ (豆瓣),"['电影', '安德烈.巴赞', '电影理论', '法国', '艺术', '巴赞', '电影是什么', '电影是什么？']", 2008-11-01
351,正红旗下 (豆瓣),"['老舍', '小说', '中国文学', '未完成的遗憾', '正红旗下', '旗人', '清末', '经典']", 1980年6月
352,我想去看海 (豆瓣),"['绘本', '不一样的卡梅拉', '童话', '儿童文学', '法国', '童书', '我想去看海', '儿童']", 2006-09-01
353,香初上舞·终上 (豆瓣),"['藤萍', '九功舞', '武侠', '小说', '圣香', '香初上舞', '言情', '香初上舞·终上']", 2005-04
354,香初上舞·再上 (豆瓣),"['藤萍', '九功舞', '武侠', '小说', '圣香', '香初上舞', '言情', '香初上舞·再上']", 2005-3-1
355,美语音标 (豆瓣),"['英语', '音标', '赖世雄', '英语学习', '口语', '发音', '外语学习', '工具书']", 2010-1
356,人生的枷锁 (豆瓣),"['毛姆', '小说', '英国文学', '外国文学', '英国', '人生', '人生枷锁', '文学']", 2011-5-1
357,金庸全集 (豆瓣),"['金庸', '武侠', '小说', '武侠小说', '经典', '金庸全集', '中国文学', '三联']", 1994-5
358,毛泽东选集 第一卷 (豆瓣),"['毛泽东', '毛泽东选集', '哲学', '政治', '经典', '毛选', '革命', '中国']", 1991-6
359,庄子今注今译（全三册） (豆瓣),"['庄子', '哲学', '陈鼓应', '国学', '道家', '中国哲学', '古籍', '经典']", 2009-2
360,庄子諵譁（下） (豆瓣),"['南怀瑾', '庄子', '哲学', '国学', '道家', '庄子諵譁', '传统文化', '文化']", 2007-7
361,故事新编 (豆瓣),"['鲁迅', '小说', '中国文学', '故事新编', '文学', '中国', '现代文学', '经典']", 1973-12-01
362,汪曾祺小说经典 (豆瓣),"['汪曾祺', '小说', '中国文学', '当代文学', '文学', '清新', '现当代文学', '中国']", 2005-8-1
363,鸟哥的Linux私房菜 (豆瓣),"['Linux', '操作系统', '计算机', '鸟哥', 'Linux/Unix', 'IT', 'linux', '技术']", 2010-6-28
364,亲爱的提奥 (豆瓣),"['梵高', '传记', '书信', '艺术', '文森特·凡高', '荷兰', '外国文学', '绘画']", 2010-8
365,夏宇詩集／腹語術 (豆瓣),"['夏宇', '诗歌', '詩', '台灣', '台湾', '诗', '現代詩', '詩集']", 1991-3-15
366,海子诗全集 (豆瓣),"['海子', '诗歌', '诗集', '中国文学', '诗', '现当代文学', '文学', '中国']", 2009-3
367,约翰·克利斯朵夫（共四册） (豆瓣),"['罗曼罗兰', '小说', '外国文学', '经典', '法国', '法国文学', '傅雷', '名著']", 1957-1
368,牡丹亭 (豆瓣),"['古典文学', '汤显祖', '牡丹亭', '戏剧', '中国古典文学', '昆曲', '中国文学', '爱情']", 2005-5-1
369,历史研究 (豆瓣),"['历史', '汤因比', '历史研究', '历史哲学', '阿诺德・汤因比', '世界历史', '文化类型史观', '文化']", 2005-4-1
370,德米安 (豆瓣),"['赫尔曼·黑塞', '黑塞', '小说', '德国文学', '德国', '成长', '外国文学', '文学']", 2009-3
371,雕刻时光 (豆瓣),"['电影', '塔可夫斯基', '雕刻时光', '电影理论', '安德烈·塔可夫斯基', '艺术', '传记', '安德烈.塔可夫斯基']", 2003-08
372,改变心理学的40项研究 (豆瓣),"['心理学', '心理', '改变心理学的40项研究(第5版)', '实验', '科普', '心理学史', '常识·心理学', '科学']", 2010-8-1
373,死屋手记 (豆瓣),"['陀思妥耶夫斯基', '小说', '俄罗斯', '俄国文学', '俄罗斯文学', '外国文学', '文学', '死屋手记']", 2011-5
374,纪伯伦诗集 (豆瓣),"['纪伯伦', '诗歌', '外国文学', '诗集', '纪伯伦诗集', '经典', '诗', '文学']", 2006-12
375,沙与沫 (豆瓣),"['纪伯伦', '诗歌', '哲学', '散文诗', '外国文学', '黎巴嫩', '经典', '智慧的先知']", 2004-9
376,被淹没和被拯救的 (豆瓣),"['历史', '普里莫•莱维', '回忆录', '集中营', '纳粹', '二战', '意大利文学', '意大利']", 2013-3
377,海风中失落的血色馈赠 (豆瓣),"['阿利斯泰尔·麦克劳德', '外国文学', '小说', '短篇小说', '加拿大', '加拿大文学', '短经典', '文学']", 2015-6-1
378,切尔诺贝利的悲鸣 (豆瓣),"['切尔诺贝利', '纪实文学', '纪实', '诺贝尔奖', '灾难', 'S.A.阿列克谢耶维奇', '外国文学', '阿列克谢耶维奇']", 2015-11
379,极简宇宙史 (豆瓣),"['科普', '宇宙', '天文', '宇宙学', '科学', '我想读这本书', '想读，一定很精彩！', '好书，值得一读']", 2016-3
380,追忆似水年华 (豆瓣),"['意识流', '追忆似水年华', '普鲁斯特', '法国文学', '外国文学', '小说', '文学', '法国']", 2012-6
381,我们时代的神经症人格 (豆瓣),"['心理学', '精神分析', '心理', '卡伦·霍尼', '精神分析派', '社会学', '神经症', '文化研究']", 2011-5
